replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	egb	epb	esurf	vdwaals	pb_tot	gb_tot
1	1.0	-604.8225	16.6079	36.7087	14.1563	24.0562	4.2553	0.0	431.0085	-237.1398	-235.4313	0.0	-5.4091	-318.86999999999995	-324.8338
1	2.0	-612.983	18.5611	30.7741	12.619	18.9539	4.2482	0.0	441.4483	-237.2841	-236.0474	0.0	-6.1901	-328.61589999999995	-334.10079999999994
1	3.0	-608.9555	17.0643	30.0289	10.1659	17.3777	4.2857	0.0	445.7714	-244.7341	-243.511	0.0	-5.049	-332.8216	-338.33040000000005
1	4.0	-600.2526	15.4321	31.2181	10.3967	18.3998	4.2409	0.0	441.4792	-246.6192	-244.6798	0.0	-7.5569	-331.3225	-337.5028
1	5.0	-607.645	15.6795	32.1341	12.5064	19.7178	4.2758	0.0	436.979	-242.3622	-239.2576	0.0	-7.2851	-332.8951	-340.2755000000001
1	6.0	-611.7928	17.6397	24.9036	11.6769	17.3073	4.2199	0.0	441.9017	-239.0888	-238.5793	0.0	-2.8456	-335.56860000000006	-340.29800000000006
1	7.0	-595.8038	15.3797	28.3839	10.0226	16.736	4.372	0.0	436.8346	-248.554	-246.7639	0.0	-7.3194	-338.15829999999994	-344.3204
1	8.0	-603.1925	16.5466	31.9037	16.1768	21.8151	4.2603	0.0	436.9059	-245.4207	-244.0265	0.0	-6.2792	-325.8898	-331.54429999999996
1	9.0	-603.0944	16.6945	25.5806	11.552	20.4354	4.3014	0.0	437.2139	-244.0643	-242.559	0.0	-6.6612	-336.53679999999997	-342.34349999999995
1	10.0	-614.6512	16.8217	32.2977	12.6105	19.148	4.2413	0.0	447.8726	-242.2502	-240.7685	0.0	-6.3182	-328.7461000000001	-334.4691000000001
1	11.0	-593.3236	12.0709	35.5845	21.4775	16.9276	4.2855	0.0	420.8539	-237.0215	-234.8147	0.0	-5.4211	-322.3595	-328.8518
1	12.0	-610.495	17.3762	37.1979	12.2021	18.399	4.1724	0.0	440.6687	-240.3421	-238.485	0.0	-5.9129	-324.8766	-330.9061
1	13.0	-594.6083	15.8318	41.6681	15.7579	18.9532	4.2983	0.0	421.5827	-238.1138	-236.53	0.0	-6.1821	-319.22839999999985	-325.1104999999999
1	14.0	-600.99	14.1997	28.6183	11.5072	14.8777	4.2724	0.0	433.4324	-239.8449	-238.7685	0.0	-5.6496	-338.50040000000007	-343.8492
1	15.0	-604.3996	18.8455	30.5729	13.4236	18.4352	4.2285	0.0	449.8983	-253.5859	-252.4302	0.0	-6.2386	-327.6644	-333.04859999999996
1	16.0	-616.8875	17.5321	33.1527	10.6313	21.8254	4.0166	0.0	448.927	-237.3615	-237.0082	0.0	-6.2741	-324.0847	-328.4546
1	17.0	-613.6367	16.7897	31.1942	15.9354	27.4532	4.0445	0.0	463.1687	-254.729	-253.6064	0.0	-7.7453	-316.4027	-321.56980000000004
1	18.0	-607.0114	16.5282	31.8078	16.5546	19.9721	4.1976	0.0	438.1648	-240.1518	-237.6619	0.0	-8.7571	-326.2053	-332.8928
1	19.0	-608.8182	15.8973	34.7003	20.5826	15.9899	4.2746	0.0	444.0185	-241.7352	-240.2942	0.0	-5.1954	-318.8446	-324.5602
1	20.0	-610.566	16.8047	33.5446	15.747	20.3754	4.2256	0.0	448.6511	-245.6675	-244.6117	0.0	-5.4253	-321.2546	-326.53599999999994
1	21.0	-602.1652	15.8639	37.4221	8.7235	17.6631	4.2615	0.0	433.0621	-241.3401	-239.8829	0.0	-5.8286	-330.88050000000004	-336.59920000000005
1	22.0	-601.0464	19.5154	27.2148	10.4769	17.8748	4.2059	0.0	436.8358	-243.1111	-241.1643	0.0	-5.8961	-331.98319999999995	-338.1359
1	23.0	-598.6733	16.4641	28.1072	11.8992	14.8708	4.2761	0.0	437.9582	-247.0459	-245.7157	0.0	-4.0686	-334.882	-340.4883000000001
1	24.0	-598.952	17.3514	32.8302	12.8843	13.4964	4.2249	0.0	434.8189	-241.5709	-239.7877	0.0	-4.0603	-327.1939	-333.202
1	25.0	-604.1614	16.9858	36.1476	17.5054	15.3222	4.2382	0.0	435.1636	-243.3041	-240.7855	0.0	-6.4932	-326.0772999999999	-332.8340999999999
1	26.0	-605.9363	16.2814	36.4497	16.1294	19.4368	4.2035	0.0	442.5441	-246.4674	-244.7912	0.0	-6.0059	-321.6884999999999	-327.56819999999993
1	27.0	-606.5255	17.4498	28.8086	14.1407	20.777	4.1952	0.0	439.5845	-241.2232	-239.5729	0.0	-6.1446	-327.28720000000004	-333.1327
1	28.0	-599.0788	16.4464	30.6748	14.8005	17.2701	4.2081	0.0	432.0273	-241.5139	-239.1357	0.0	-6.0874	-328.87469999999985	-335.4609999999999
