replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
1	1	-303.2437	15.6521	37.2423	15.983	21.5553	4.6032	0.0	216.2727	-232.0369	-6.2829	-234.1193	0.0	-230.2549	-236.94050000000001
1	2	-303.0555	14.3357	33.9691	12.3829	25.9736	4.7064	0.0	232.7386	-243.5719	-6.7372	-244.4044	0.0	-229.25830000000005	-234.79720000000003
1	3	-302.0795	15.0637	39.0393	25.6991	27.2929	4.7018	0.0	220.8303	-237.4536	-6.7266	-237.8912	0.0	-213.6326	-218.772
1	4	-299.8894	14.6168	38.4226	12.9405	30.1062	4.5326	0.0	220.78	-237.4867	-7.6876	-239.0556	0.0	-223.66500000000002	-229.7665
1	5	-311.9423	14.7158	40.8922	12.1706	20.4023	4.5803	0.0	233.8688	-237.2921	-6.0379	-238.0051	0.0	-228.64229999999998	-233.9356
1	6	-303.6089	17.1503	38.0118	14.5893	19.6282	4.5737	0.0	234.5427	-243.6949	-4.6682	-244.4101	0.0	-223.476	-228.7649
1	7	-310.3751	14.2933	37.2196	16.8157	23.8641	4.7292	0.0	238.0271	-242.5493	-7.5122	-243.9729	0.0	-225.48759999999996	-231.64040000000003
1	8	-298.7027	16.3302	39.7002	10.2935	20.8109	4.501	0.0	215.6446	-232.0964	-5.6919	-232.0808	0.0	-229.2106	-233.69600000000003
1	9	-297.4303	15.1881	44.5634	14.034	20.5685	4.6749	0.0	217.3266	-238.3456	-7.308	-238.7854	0.0	-226.72839999999994	-231.84309999999996
1	10	-299.6892	15.4924	36.0752	14.1725	21.6559	4.5987	0.0	228.8054	-242.0984	-6.8597	-241.1179	0.0	-227.84720000000004	-231.46540000000005
1	11	-300.7376	12.6837	51.0536	12.1479	18.9798	4.5117	0.0	209.2818	-225.9319	-5.6252	-229.1079	0.0	-223.6362	-231.32389999999998
1	12	-296.7597	15.0083	41.6965	18.3984	21.1241	4.4589	0.0	202.3857	-223.203	-7.0581	-224.8804	0.0	-223.94889999999998	-230.0852
1	13	-301.0397	13.6633	44.6649	10.5311	22.2007	4.5212	0.0	215.0132	-228.6555	-6.4919	-230.0548	0.0	-225.59269999999995	-231.51319999999996
1	14	-294.8052	14.167	43.5559	18.708	21.5098	4.7043	0.0	220.5246	-239.8211	-6.5492	-241.3668	0.0	-218.00590000000005	-224.25590000000005
1	15	-303.7804	12.6196	40.2447	15.649	21.119	4.6516	0.0	245.7872	-255.108	-7.4434	-257.5512	0.0	-226.26069999999996	-233.35549999999998
1	16	-278.8628	15.2863	41.172	9.1083	24.7384	4.6659	0.0	202.0288	-230.5738	-6.4356	-230.375	0.0	-218.8725	-223.3396
1	17	-299.8041	14.979	38.1923	16.1063	19.8223	4.6956	0.0	221.3686	-240.689	-3.5308	-242.3138	0.0	-228.8598	-235.18019999999999
1	18	-300.7719	14.5856	41.6614	6.9963	23.5262	4.6129	0.0	231.6267	-244.6315	-6.8404	-246.2084	0.0	-229.23469999999998	-235.42450000000002
1	19	-312.4781	14.3362	35.8134	14.1484	19.6204	4.7252	0.0	240.7626	-242.7081	-6.537	-245.397	0.0	-232.31699999999995	-239.73109999999997
1	20	-296.4164	14.5305	43.3046	9.0668	27.2027	4.6676	0.0	227.205	-245.2288	-7.0792	-246.4037	0.0	-222.74719999999996	-228.58969999999997
1	21	-304.3724	15.2729	42.1212	10.7473	27.156	4.6868	0.0	231.9119	-244.9574	-6.6495	-246.487	0.0	-224.08320000000003	-230.29960000000003
1	22	-309.5346	16.2572	32.3854	15.3384	18.9796	4.6964	0.0	240.8641	-245.4212	-7.7148	-245.5257	0.0	-234.14950000000002	-238.9504
