replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	egb	epb	esurf	vdwaals	pb_tot	gb_tot
1	39.0	-479.2756	7.8972	17.482	5.5993	11.0054	3.0092	0.0	202.7114	-25.1385	-26.8358	0.0	-3.2543	-261.6612	-262.9731
1	40.0	-477.4035	7.5341	17.8284	5.8845	10.1609	3.04	0.0	204.2579	-28.687	-30.4241	0.0	-3.6055	-262.7273	-264.0302
2	1.0	-483.9209	7.2021	19.6773	8.2595	9.8155	2.9899	0.0	205.8414	-24.8128	-26.4688	0.0	-3.7357	-260.33970000000005	-261.6736
2	2.0	-481.2322	8.6983	12.8227	9.7995	9.8578	2.9756	0.0	204.5032	-24.3181	-25.567	0.0	-3.0723	-261.2143999999999	-262.94109999999995
2	3.0	-484.8231	8.4521	18.1549	9.6213	12.5366	2.9781	0.0	204.8767	-22.5334	-25.1841	0.0	-2.5979	-255.98540000000003	-256.31280000000004
2	4.0	-485.3039	9.1665	23.0182	7.3395	14.81	2.9939	0.0	206.2842	-25.8606	-28.5534	0.0	-2.8112	-253.05620000000002	-253.35729999999998
2	5.0	-480.0449	6.2322	16.8139	7.5811	8.1927	3.0005	0.0	202.4806	-24.7104	-26.9464	0.0	-0.9014	-263.59170000000006	-264.3562
2	6.0	-479.8214	6.6957	20.6906	10.5849	8.7379	2.9904	0.0	202.492	-23.9877	-25.6979	0.0	-2.7221	-256.0499	-257.3301
2	7.0	-480.2674	8.1945	20.6564	8.4516	8.3485	2.9914	0.0	203.3197	-26.3883	-28.159	0.0	-2.8197	-259.284	-260.50469999999996
2	8.0	-493.37	10.1341	20.3449	6.948	10.9272	2.9788	0.0	215.7688	-27.2597	-30.7174	0.0	-2.6231	-259.60870000000006	-259.12980000000005
2	9.0	-479.4109	7.2189	17.9125	3.1918	11.7506	2.9931	0.0	200.9852	-23.4673	-24.8717	0.0	-3.3755	-263.606	-265.1947
2	10.0	-480.4063	7.8806	15.2858	6.7793	10.701	3.0038	0.0	203.7717	-25.3531	-27.6165	0.0	-2.7863	-263.38689999999997	-264.1273
2	11.0	-487.0208	8.7695	16.3021	11.995	12.8329	2.999	0.0	209.6884	-27.116	-29.1769	0.0	-3.2721	-256.8829	-257.821
2	12.0	-489.6444	11.0159	21.5307	9.9282	17.9374	2.9752	0.0	208.7271	-24.6062	-27.284	0.0	-2.5066	-247.32050000000004	-247.61790000000005
2	13.0	-471.3647	8.2916	16.304	7.766	14.3253	2.9958	0.0	195.4397	-23.6417	-24.8863	0.0	-2.2181	-253.34670000000003	-255.09790000000004
2	14.0	-481.9409	7.4873	20.462	9.3941	12.9404	2.9569	0.0	203.413	-23.7104	-25.2493	0.0	-3.1514	-253.68789999999996	-255.10589999999993
2	15.0	-484.8855	9.3086	16.4705	7.2078	13.4321	2.9789	0.0	205.1877	-23.5973	-25.9705	0.0	-2.6456	-258.916	-259.5217
2	16.0	-475.5772	7.9827	16.8206	5.7819	11.504	3.019	0.0	200.5524	-25.9455	-27.7631	0.0	-3.6684	-261.3481	-262.54949999999997
2	17.0	-479.8433	8.471	18.4636	9.2807	8.2318	2.9762	0.0	202.1704	-24.47	-26.5181	0.0	-2.4677	-259.23539999999997	-260.1635
2	18.0	-483.9171	8.8171	19.6231	12.6442	17.4781	2.9662	0.0	204.7376	-26.0346	-29.2865	0.0	-2.8343	-249.77160000000006	-249.48590000000004
2	19.0	-479.7183	9.493	19.8556	8.5607	10.7905	2.9941	0.0	203.9628	-26.9567	-28.5603	0.0	-3.3455	-255.96740000000003	-257.35790000000003
2	20.0	-478.0367	9.262	17.036	7.2292	10.2065	3.0112	0.0	200.0892	-22.8512	-24.9623	0.0	-1.9358	-258.10069999999996	-259.0008
2	21.0	-475.7571	7.2092	14.7594	5.7628	15.5891	2.996	0.0	199.5188	-26.223	-27.6619	0.0	-2.5948	-260.1785	-261.7356
2	22.0	-475.2954	8.2902	15.489	6.7497	12.648	3.0426	0.0	201.1342	-25.5331	-26.8168	0.0	-3.1628	-257.9213	-259.68019999999996
2	23.0	-479.9068	8.6704	16.4731	14.154	10.5275	3.0128	0.0	201.684	-24.5919	-26.0628	0.0	-3.8031	-255.25090000000003	-256.79280000000006
