replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	egb	epb	esurf	vdwaals	pb_tot	gb_tot
1	1.0	-516.6771	16.1587	36.0331	14.24	17.975	4.3662	0.0	322.3811	-248.5591	-248.9512	0.0	-5.9411	-360.4153	-364.38939999999997
1	2.0	-516.8199	16.1959	29.9521	10.0513	18.0564	4.2846	0.0	324.2636	-247.8234	-247.6635	0.0	-7.5028	-369.18229999999994	-373.6268
1	3.0	-527.5713	15.7694	38.7911	11.5238	25.1369	4.3986	0.0	335.8604	-254.0989	-255.7971	0.0	-6.9156	-358.80379999999985	-361.50419999999986
1	4.0	-527.719	14.0955	31.6353	14.7129	18.1131	4.3976	0.0	333.2568	-247.2371	-246.8291	0.0	-4.0432	-362.3801	-367.18570000000005
1	5.0	-529.5867	13.9092	34.3587	11.6136	23.5712	4.4073	0.0	351.4887	-262.1588	-261.2809	0.0	-5.1541	-356.6729999999999	-361.9581999999999
1	6.0	-519.5502	15.2862	33.5128	16.7387	20.8438	4.0608	0.0	308.9367	-233.6536	-234.9379	0.0	-6.3639	-361.473	-364.2495
1	7.0	-509.2426	15.3517	31.2346	17.3577	20.1801	4.3333	0.0	320.8109	-248.3129	-248.7476	0.0	-6.7438	-355.4657	-359.36429999999996
1	8.0	-523.4967	16.9846	35.1892	17.5316	25.0024	4.2843	0.0	339.415	-255.7355	-256.362	0.0	-5.3207	-346.77230000000003	-350.4301
1	9.0	-520.195	15.1383	28.2893	11.0477	20.7464	4.0144	0.0	311.0688	-234.042	-231.7825	0.0	-8.7622	-370.4348	-376.7087
1	10.0	-527.1196	15.3762	31.2123	14.2347	21.8342	3.8493	0.0	316.6122	-234.0529	-231.7682	0.0	-9.0579	-364.82680000000005	-370.9608
1	11.0	-517.7306	17.1029	36.857	10.1419	24.2495	3.8359	0.0	304.1288	-224.3374	-224.359	0.0	-9.6822	-355.4558	-359.27009999999996
1	12.0	-532.5924	16.9269	38.2572	16.403	20.888	3.9644	0.0	334.5727	-243.7333	-242.4959	0.0	-6.0989	-350.175	-355.3768
1	13.0	-527.1004	16.2866	42.3148	13.8515	23.135	4.2088	0.0	321.0209	-239.9079	-240.2961	0.0	-5.2068	-351.7857000000001	-355.60630000000003
1	14.0	-519.4393	13.4282	37.2635	12.0957	19.6815	4.0522	0.0	318.5863	-239.3614	-239.5308	0.0	-8.7558	-362.61850000000004	-366.5013
1	15.0	-525.4164	13.7631	35.4025	18.5317	25.5887	4.2773	0.0	328.1238	-246.4053	-246.4752	0.0	-7.2867	-353.49119999999994	-357.6985999999999
