	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	egb	epb	esurf	vdwaals	pb_tot	gb_tot
0	-479.90493749999996	8.347929999999998	17.859455	7.691617499999998	11.979539999999998	3.0214749999999997	0.0	204.29760749999997	-26.2217225	-27.995992500000007	0.0	-2.8350449999999996	-257.53835000000004	-258.785555
1	-483.6530125000002	8.240182500000001	18.595189999999995	8.702527499999999	12.433007499999999	2.9662175	0.0	206.58277500000003	-24.869780000000002	-26.80092	0.0	-3.1112375	-256.04526999999996	-257.0803475
2	-481.33982500000013	8.314632499999998	18.343345	8.663315	12.25599	3.0124899999999997	0.0	205.01277750000003	-26.0919625	-27.9943975	0.0	-2.6766225	-256.40829499999995	-257.51835000000005
3	-479.99929749999984	8.139860000000002	18.6772625	9.210097499999998	12.034570000000002	3.0212525	0.0	204.14134499999997	-25.95004	-27.78597749999999	0.0	-2.8305749999999996	-255.3914625	-256.57677750000005
4	-479.4617975	8.316565	17.8753675	8.023072499999998	11.643907500000003	3.004195	0.0	203.96512250000006	-26.211062500000004	-27.973672499999992	0.0	-2.864817499999999	-257.4720575	-258.7136425000001
5	-480.80204000000003	8.010805000000001	17.8804375	8.3806925	11.602587499999998	3.0081550000000004	0.0	204.91907	-26.0174075	-27.8605125	0.0	-2.8832525	-257.74405750000005	-258.9091075
6	-481.05135500000006	8.020495	18.57975	8.0123475	11.759862499999999	2.9978775000000004	0.0	204.923315	-25.876412500000004	-27.640182499999998	0.0	-3.0270875000000004	-257.42497749999995	-258.6590849999999
7	-480.30957249999994	8.105752499999998	18.303205	8.063495	12.205670000000001	3.01644	0.0	204.45858749999996	-26.3704825	-28.148342500000002	0.0	-2.967147499999999	-257.2719125	-258.51049249999994
8	-482.0626250000002	8.171497500000001	18.348245000000006	8.087397499999998	12.214935	3.0069275000000006	0.0	206.71108750000002	-26.340329999999994	-28.221985000000007	0.0	-3.008362500000001	-256.75288250000006	-257.87815499999994
9	-481.0568375000001	8.203095000000001	18.3755575	8.206510000000002	11.462317500000001	3.0202375	0.0	204.626445	-25.898142499999995	-27.731997499999995	0.0	-2.8384575000000005	-257.73312999999996	-258.9195125
10	-480.4211375	8.2426975	17.575595	8.2462025	11.3417225	3.0034425	0.0	204.19624999999996	-25.852777500000002	-27.701075000000003	0.0	-2.4723550000000003	-257.98865749999993	-259.1438025
11	-481.25977	8.438247500000001	17.650219999999997	7.593997499999999	11.614104999999999	3.0052624999999997	0.0	205.2174775	-25.947680000000002	-27.753512500000006	0.0	-2.7147975	-258.20877	-259.40819999999997
12	-481.88367749999986	8.195197499999999	18.632079999999995	8.367897500000002	11.992047500000002	3.00711	0.0	205.52093499999995	-25.820220000000006	-27.739512500000007	0.0	-2.8858399999999995	-256.79376249999996	-257.88158000000004
13	-482.0839825000001	8.289547500000003	18.327165000000004	8.1850925	12.029705	2.999050000000001	0.0	205.86855500000001	-26.1277425	-27.9360525	0.0	-2.848299999999999	-257.16921999999994	-258.35996
14	-480.15138749999994	8.2318975	18.515782499999997	7.719470000000001	12.0859475	3.0150200000000003	0.0	204.30223999999998	-26.197347499999996	-27.98682	0.0	-2.910977500000001	-257.17882749999995	-258.40437499999996
15	-481.65433	8.271749999999997	18.424970000000002	8.634745	11.9063025	3.020857500000001	0.0	205.13665999999998	-25.654595	-27.596225000000004	0.0	-2.857335	-256.71260500000005	-257.7918325
16	-479.58831	7.834014999999999	18.308249999999997	8.864232499999998	11.9295475	3.0098399999999996	0.0	203.96952000000002	-25.852962499999997	-27.627909999999996	0.0	-2.6227299999999993	-255.92354500000005	-257.1584375000001
17	-481.0026924999999	8.283777500000001	19.08385	8.609825	11.602772499999999	2.99818	0.0	205.2070075	-26.212667500000002	-28.01959	0.0	-2.6863725	-255.92324249999996	-257.11449999999996
18	-481.2301949999999	8.088505000000001	18.9185675	8.41731	11.431970000000002	2.9887299999999994	0.0	204.84010750000002	-25.366277500000002	-27.135177499999998	0.0	-2.8390425000000006	-256.51922500000006	-257.739055
19	-480.9782649999999	8.0940475	18.757949999999994	8.027842500000002	11.326845	2.99113	0.0	205.19735999999997	-25.971439999999994	-27.874845	0.0	-2.9723600000000006	-257.430295	-258.51802
20	-482.9057275	8.245807500000002	18.880975	8.228119999999997	11.67633	2.9843175000000004	0.0	207.02275000000003	-26.166970000000003	-28.05012	0.0	-3.0400749999999994	-256.9576225	-258.05878999999993
21	-479.41218	8.101715	18.50826499999999	8.5759725	11.772972499999998	2.99868	0.0	203.4190925	-25.8577575	-27.683357500000007	0.0	-2.7011775	-256.42001750000003	-257.5930975
22	-482.4883750000002	8.141699999999998	18.357949999999995	7.587950000000001	12.0704575	2.9987024999999994	0.0	207.4707125	-25.691320000000008	-27.535949999999993	0.0	-2.786485	-256.1833375	-257.33741
23	-479.9887100000001	7.970175	19.16095	8.270287499999998	11.751009999999999	3.0309625000000007	0.0	203.71908499999995	-26.003224999999997	-27.873784999999998	0.0	-2.6173799999999994	-256.57740500000006	-257.7378074999999
