	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
0	14274.516407500001	1153.4147349999998	2551.6754174999987	934.5256874999999	3491.026210000001	73.7653675	0.0	-23023.780812499997	-3389.1830749999995	-2531.258255	-3041.0282725000006	0.0	-6465.2983175	-6190.908882500001
1	14273.682982499999	1159.5530975000001	2548.4428125000004	926.9902775000003	3471.8256800000004	74.72551000000001	0.0	-23093.269695000006	-3316.9047399999995	-2521.1028275	-2977.2041249999997	0.0	-6476.0569024999995	-6211.0817975
2	14315.009115000003	1151.1756275	2548.8953275000003	933.7909975	3492.1055324999993	75.4731075	0.0	-22988.423405	-3478.640445	-2516.79932	-3130.565267499999	0.0	-6467.4134625000015	-6194.811392500001
3	14281.023705000003	1156.3595474999997	2545.5114900000003	924.4571925	3475.5754050000005	74.7288275	0.0	-22905.354960000004	-3468.834305000001	-2523.99836	-3143.63415	0.0	-6440.531457500002	-6190.06013
4	14268.680515000004	1159.3512749999995	2549.6016275	928.9715725	3469.89709	74.85021750000001	0.0	-22901.038497499998	-3472.5917125	-2525.4582975000003	-3135.2548475	0.0	-6447.736210000001	-6185.249562499999
5	14267.61851	1156.88221	2559.3760875	936.4672324999999	3490.543585000001	74.3431125	0.0	-23012.07701	-3372.1746849999995	-2541.44628	-3030.9210399999997	0.0	-6440.467237500001	-6173.556704999997
6	14243.714259999999	1157.1003024999998	2533.091475	919.7932974999998	3480.855685000001	74.22880999999997	0.0	-22978.263104999998	-3402.057705	-2538.14121	-3055.5234649999998	0.0	-6509.67819	-6237.372759999999
7	14304.731995	1154.0842575000004	2544.0272299999997	925.6933425	3482.9840899999995	75.70435749999999	0.0	-23000.594540000006	-3450.2014975000006	-2517.4355649999998	-3104.17077	0.0	-6481.006330000001	-6210.6799599999995
8	14247.525585	1158.9887374999998	2550.2196474999996	927.399915	3477.9416574999996	74.70255499999999	0.0	-22944.140307499998	-3435.9312474999997	-2522.1437275	-3099.5517075	0.0	-6465.437184999999	-6203.760199999999
9	14275.721677500002	1159.028675	2555.486177499999	923.2622449999997	3483.486752500001	75.341675	0.0	-23003.134537500006	-3401.173605	-2523.73736	-3061.7096850000003	0.0	-6455.718300000001	-6191.596055
10	14277.598677499996	1155.19594	2541.3750500000006	930.9518899999999	3492.7762924999997	75.41615500000002	0.0	-22959.861107500008	-3436.8343099999993	-2527.2112275	-3095.7217700000006	0.0	-6450.592640000002	-6184.896255
11	14267.1654875	1157.8767125000002	2559.24618	924.7153250000001	3479.51166	74.06992749999999	0.0	-23064.214375	-3356.0037574999997	-2523.58076	-3001.689745	0.0	-6481.213599999998	-6200.969515
12	14260.157587500002	1156.6164775	2541.06014	931.1900599999999	3475.793629999999	76.26548750000003	0.0	-22853.8532725	-3526.174005	-2511.6337724999994	-3182.9665925000004	0.0	-6450.577667500002	-6183.635742500001
13	14251.159714999996	1156.2508299999997	2549.5034475	936.4763725	3478.4289900000003	75.45339500000001	0.0	-23010.239259999995	-3383.2068999999997	-2522.8268025	-3043.1813849999994	0.0	-6469.000212499998	-6204.4280925
14	14252.842277500002	1156.42422	2565.9741425	929.1257775	3483.0976949999995	74.76110750000001	0.0	-22941.314860000006	-3434.1288199999995	-2528.063355	-3088.7857950000002	0.0	-6441.281814999999	-6170.6998975
15	14298.196095000001	1158.3212125000002	2546.600195	932.1869225	3491.1147825000007	74.79402249999998	0.0	-23101.67229000001	-3348.0297875000006	-2533.3648000000003	-3000.38685	0.0	-6481.853647499998	-6209.0047325000005
16	14268.108127499998	1157.954515	2545.2564099999995	927.4335949999997	3473.971512499999	75.89939749999999	0.0	-22888.23657	-3496.04928	-2515.929475	-3154.897767500001	0.0	-6451.591767500001	-6186.339652500001
17	14278.011942500001	1156.195615	2557.3609475	920.8835075000001	3487.3720274999987	76.47279499999999	0.0	-22994.399635	-3430.993	-2518.89932	-3083.15956	0.0	-6467.995120000001	-6196.634475000001
18	14269.067260000002	1159.6503625	2550.5672624999997	927.1512349999999	3480.6140374999995	75.9692975	0.0	-22976.014385000002	-3437.4191575000004	-2518.4917825	-3086.7287925000005	0.0	-6468.9058700000005	-6194.1848025
19	14273.046632499996	1154.7720249999998	2546.652475	931.8068800000001	3471.0853200000006	74.07018749999999	0.0	-22900.256559999998	-3455.8125125000006	-2533.4150449999997	-3129.5861700000005	0.0	-6438.050597500001	-6185.894442499999
20	14273.591575000002	1157.9549425000002	2552.0696199999993	931.547645	3471.3220575	75.2266325	0.0	-22995.1145125	-3393.2126450000005	-2527.4590125000004	-3052.8298775000007	0.0	-6454.073697500002	-6188.917562500001
21	14296.827655000005	1160.4941999999996	2551.3757325000006	925.2931474999999	3478.05606	75.87696000000001	0.0	-22940.229812499998	-3485.8195400000004	-2518.6803600000007	-3142.9617049999997	0.0	-6456.805957500001	-6189.825082500001
22	14291.587105000004	1156.7154375	2549.9438425	931.715355	3492.8385175000003	75.986645	0.0	-22970.240954999997	-3463.4126950000004	-2515.551235	-3118.5829024999994	0.0	-6450.417982500003	-6181.574834999999
23	14254.698857500003	1157.2055599999999	2539.96461	932.737515	3472.7630249999993	74.9763775	0.0	-23033.861484999994	-3360.1858850000003	-2516.5897150000005	-3020.697077500001	0.0	-6478.29114	-6213.778710000001
24	14269.6972775	1153.4251725	2548.9226475	926.1138299999999	3483.995775000001	75.63346749999998	0.0	-23024.66992	-3382.1314425000005	-2514.834534999999	-3043.348335000001	0.0	-6463.847727499999	-6200.698087499999
