replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
1	1	14261.1508	1164.2346	2585.314	899.4311	3470.9898	75.737	0.0	-22947.9633	-3428.4387	-2497.7783	-3113.2311	0.0	-6417.323	-6177.8524
1	2	14309.3192	1143.3979	2606.4497	948.7052	3493.3746	75.3923	0.0	-23110.0656	-3365.4834	-2468.9178	-3033.0804	0.0	-6367.827900000004	-6110.817200000001
1	3	14330.3485	1161.3348	2542.4346	932.8744	3480.6782	75.7811	0.0	-23048.5846	-3369.9905	-2528.7708	-3054.5463	0.0	-6423.894299999998	-6184.231199999998
1	4	14306.9807	1147.9674	2522.3882	942.6595	3489.8713	76.8059	0.0	-22925.687	-3478.4867	-2555.0838	-3149.7272	0.0	-6472.584500000003	-6220.6309
1	5	14309.5689	1155.7173	2550.2224	875.8218	3460.9641	76.8205	0.0	-22841.8848	-3547.8109	-2514.7571	-3186.4775	0.0	-6475.337800000001	-6190.8249
1	6	14281.2928	1143.113	2563.5144	939.0905	3448.4682	76.9193	0.0	-22865.0361	-3531.7195	-2546.9862	-3169.9046	0.0	-6491.343600000002	-6206.448000000004
1	7	14334.592	1163.6444	2553.2874	886.581	3455.8142	76.8503	0.0	-22968.0283	-3473.8055	-2492.9604	-3145.0108	0.0	-6464.024900000002	-6212.0805
1	8	14296.979	1156.4211	2544.211	933.6787	3457.9972	77.5377	0.0	-22892.5815	-3498.7466	-2553.1498	-3156.2373	0.0	-6477.6532000000025	-6212.6816000000035
1	9	14310.7406	1159.7483	2529.7388	919.9267	3473.9599	76.115	0.0	-23021.4965	-3429.8241	-2524.3404	-3095.5715	0.0	-6505.431700000002	-6247.294099999999
1	10	14299.5044	1158.8285	2596.7982	954.6577	3497.1395	76.6047	0.0	-22879.9764	-3580.5442	-2499.7455	-3226.6909	0.0	-6376.7330999999995	-6099.484500000002
1	11	14279.732	1143.6837	2549.3076	906.3323	3472.1744	76.2917	0.0	-22869.7284	-3571.4374	-2528.6675	-3227.6132	0.0	-6542.311599999999	-6274.7791
1	12	14230.6991	1147.6088	2513.9972	1005.0288	3480.1949	76.8222	0.0	-22913.3497	-3508.4193	-2521.2363	-3156.5725	0.0	-6488.6543	-6213.629700000005
1	13	14286.8924	1154.4975	2492.6813	879.2456	3492.7711	75.4361	0.0	-22968.1576	-3431.4892	-2519.5992	-3077.2439	0.0	-6537.721999999998	-6258.912799999998
1	14	14294.7654	1143.9134	2541.1469	967.1464	3438.7539	76.605	0.0	-22982.9182	-3455.7554	-2510.7565	-3100.6661	0.0	-6487.099100000001	-6208.614800000003
1	15	14274.3696	1165.0333	2522.7862	941.161	3454.3067	75.9565	0.0	-22969.9431	-3450.3267	-2520.0788	-3105.1183	0.0	-6506.735299999999	-6237.483400000001
1	16	14264.4586	1155.746	2522.6606	906.8247	3483.9776	75.7425	0.0	-22970.5971	-3456.3829	-2502.615	-3085.5439	0.0	-6520.1849999999995	-6225.088500000002
1	17	14311.7774	1168.4827	2556.6181	958.4172	3497.9357	75.0616	0.0	-23079.7724	-3407.186	-2506.8573	-3030.3473	0.0	-6425.523	-6123.745899999998
1	18	14247.2261	1142.8428	2534.0862	960.2642	3475.2731	75.8619	0.0	-23057.904	-3363.1819	-2516.086	-3003.4585	0.0	-6501.617599999999	-6217.756099999999
1	19	14273.5594	1161.3242	2529.9679	960.0083	3486.8273	74.6429	0.0	-22921.3045	-3476.0769	-2543.2109	-3137.1255	0.0	-6454.262299999997	-6189.953799999996
1	20	14313.8191	1138.2594	2613.5162	917.8616	3488.2769	76.1878	0.0	-22986.7451	-3460.0167	-2522.3711	-3130.2109	0.0	-6421.211900000002	-6167.5939
1	21	14269.4342	1155.6474	2556.6274	915.0184	3483.9922	75.2701	0.0	-22828.149	-3536.9214	-2536.4446	-3162.1021	0.0	-6445.525300000003	-6145.9761
1	22	14248.347	1145.0428	2528.4787	979.8692	3492.7497	74.8353	0.0	-23091.7326	-3365.3508	-2493.7524	-3020.9706	0.0	-6481.513100000002	-6211.968200000003
1	23	14300.4467	1157.9523	2592.1933	927.8189	3461.8549	76.145	0.0	-22977.4796	-3485.1821	-2484.96	-3170.6488	0.0	-6431.210599999998	-6192.8223
1	24	14234.5203	1138.2698	2627.5293	964.1173	3459.1405	75.535	0.0	-22999.0829	-3386.6825	-2517.2163	-3061.5976	0.0	-6403.869500000002	-6154.3196000000025
1	25	14301.4309	1144.4385	2553.0391	987.3612	3462.1316	77.5279	0.0	-23085.3287	-3421.0008	-2484.617	-3052.0513	0.0	-6465.017299999996	-6173.595699999998
1	26	14297.9487	1139.4636	2546.716	937.409	3477.0502	75.9845	0.0	-23058.4452	-3398.6864	-2494.0735	-3076.1209	0.0	-6476.633099999998	-6230.052099999997
1	27	14365.4286	1144.858	2495.7226	922.8835	3511.9172	76.6471	0.0	-23160.549	-3375.1647	-2484.4606	-3015.2317	0.0	-6502.7173	-6219.431399999998
1	28	14276.5947	1163.1999	2525.3909	933.5724	3492.3217	76.5768	0.0	-22974.5035	-3449.9514	-2520.9573	-3093.4735	0.0	-6477.755799999999	-6197.8547
1	29	14346.5336	1162.1022	2566.7503	929.2103	3481.923	76.0085	0.0	-23131.8017	-3316.4444	-2508.5097	-2970.9441	0.0	-6394.227899999999	-6124.736099999998
1	30	14411.1456	1171.3803	2560.7293	888.9782	3503.4576	76.3789	0.0	-23020.4787	-3510.2966	-2516.3599	-3168.7037	0.0	-6435.0652999999975	-6169.851299999998
1	31	14318.2941	1153.0931	2598.0954	900.3697	3475.2717	77.7273	0.0	-22984.7659	-3481.5789	-2462.3418	-3107.8549	0.0	-6405.835300000001	-6109.838599999999
1	32	14365.6597	1154.1482	2617.5993	921.5583	3514.7614	76.8181	0.0	-23110.268	-3426.3706	-2524.3069	-3051.8981	0.0	-6410.400500000002	-6112.746100000004
1	33	14309.2648	1157.5249	2606.5724	938.6436	3454.7425	77.9887	0.0	-22941.4775	-3541.1158	-2490.2575	-3179.8324	0.0	-6428.113900000001	-6144.819199999998
1	34	14335.3198	1149.1568	2535.2941	890.7635	3461.9236	76.5299	0.0	-22876.5335	-3605.1022	-2494.6148	-3250.3755	0.0	-6527.2627999999995	-6249.065999999999
1	35	14298.5432	1164.3741	2550.2109	907.5331	3488.2528	77.7175	0.0	-22934.3788	-3510.6238	-2514.1824	-3184.6652	0.0	-6472.553399999998	-6224.312299999998
1	36	14302.054	1175.2164	2493.1095	971.743	3478.1036	77.1012	0.0	-22989.2981	-3492.8329	-2512.907	-3139.3316	0.0	-6497.7103000000025	-6221.3102000000035
1	37	14244.648	1147.6471	2488.0952	962.9863	3427.159	75.8011	0.0	-22967.4709	-3486.0971	-2478.7724	-3136.9497	0.0	-6586.0037	-6312.6574
1	38	14275.9991	1154.423	2533.7107	945.3129	3453.4656	76.8625	0.0	-23037.3434	-3404.1464	-2508.6915	-3063.4113	0.0	-6510.407500000003	-6246.534900000002
1	39	14298.3884	1173.3932	2539.6281	872.8406	3466.4019	77.122	0.0	-22982.4994	-3518.7644	-2461.5078	-3174.342	0.0	-6534.9974	-6267.697
1	40	14297.8985	1162.8586	2503.7927	918.4459	3442.8954	76.6718	0.0	-23155.9182	-3338.1084	-2488.8183	-2990.1504	0.0	-6580.281999999999	-6308.995799999997
2	1	14223.7468	1136.6034	2581.2865	930.2571	3474.8272	73.5765	0.0	-23056.2844	-3315.2908	-2505.3202	-3002.5442	0.0	-6456.597900000001	-6217.427800000001
2	2	14309.5707	1157.3268	2584.4346	935.8773	3489.5671	73.7244	0.0	-22960.4662	-3403.4781	-2562.865	-3076.9361	0.0	-6376.3084	-6123.4908
2	3	14283.0886	1158.8601	2609.9034	868.8504	3485.5044	72.7323	0.0	-23165.2327	-3276.3465	-2496.606	-2929.487	0.0	-6459.246	-6185.118800000004
2	4	14281.1562	1183.5949	2538.8953	901.1943	3481.2451	72.4169	0.0	-23027.9157	-3352.873	-2528.8683	-3012.6498	0.0	-6451.1543	-6183.348000000002
2	5	14242.3874	1133.2079	2489.7281	927.2646	3486.5749	73.4774	0.0	-23052.5592	-3303.5846	-2586.1529	-2938.1598	0.0	-6589.656400000001	-6297.708999999999
2	6	14297.4294	1168.424	2545.6627	955.3417	3445.1647	75.1225	0.0	-23016.9104	-3410.3453	-2528.6787	-3054.7689	0.0	-6468.789400000003	-6188.335500000001
2	7	14286.6554	1157.3149	2523.4072	948.6432	3468.585	72.7493	0.0	-23106.7847	-3286.1816	-2524.951	-2954.1439	0.0	-6460.5623000000005	-6201.2739
2	8	14306.6564	1160.355	2501.8383	947.7909	3537.9758	72.2395	0.0	-23087.7518	-3313.7385	-2548.8638	-2963.5714	0.0	-6423.4982	-6145.570599999999
2	9	14258.6316	1128.9124	2525.0893	954.1803	3473.6429	73.5	0.0	-22918.6947	-3394.7525	-2516.4776	-3070.308	0.0	-6415.9683	-6165.023799999999
2	10	14263.819	1147.7442	2552.3696	960.2219	3475.4478	74.1986	0.0	-23044.747	-3367.2803	-2516.7928	-3011.5725	0.0	-6455.018999999998	-6173.509800000003
2	11	14246.4144	1149.5996	2553.8469	899.2063	3459.5076	74.3336	0.0	-22984.9261	-3318.1153	-2522.4227	-2973.892	0.0	-6442.555700000004	-6172.666000000001
2	12	14293.7102	1180.2358	2495.6181	892.8093	3469.2032	73.947	0.0	-23116.5995	-3294.5395	-2532.9295	-2936.2449	0.0	-6538.5449	-6254.1973
2	13	14308.28	1150.5956	2534.3297	908.6518	3477.8147	72.8587	0.0	-23175.1184	-3228.3027	-2545.9785	-2900.1328	0.0	-6496.869099999999	-6241.5579
2	14	14248.7089	1174.3036	2562.9777	875.0349	3504.5968	73.7501	0.0	-23112.3759	-3276.2524	-2524.239	-2908.92	0.0	-6473.4953	-6179.9130000000005
2	15	14203.42	1147.9932	2552.9514	930.2287	3472.8056	73.6422	0.0	-22879.4012	-3397.0251	-2535.9759	-3052.0626	0.0	-6431.361099999998	-6160.0408000000025
2	16	14285.128	1142.8038	2498.2741	948.3739	3487.6026	73.557	0.0	-22899.2411	-3513.4713	-2525.4697	-3135.8567	0.0	-6502.442700000001	-6198.3850999999995
2	17	14260.2211	1144.4871	2604.3962	933.0916	3468.3483	73.8804	0.0	-22958.7646	-3376.2445	-2543.9267	-3048.377	0.0	-6394.511099999999	-6140.523999999998
2	18	14257.7416	1160.4584	2585.0795	899.571	3479.2938	74.6963	0.0	-22933.7084	-3399.2799	-2586.5035	-3074.8844	0.0	-6462.6512	-6212.9519999999975
2	19	14181.196	1146.6247	2530.3855	971.307	3488.155	75.9175	0.0	-22857.4943	-3456.4288	-2518.755	-3122.0398	0.0	-6439.092399999996	-6180.620899999998
