	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
0	14254.698369999998	1166.7939275	2560.312424999999	932.4929775000004	3488.6140025	74.32891749999999	0.0	-23048.2623975	-3356.1855024999995	-2542.6726925000003	-3032.9480475	0.0	-6469.879972500001	-6220.9714349999995
1	14205.8424325	1163.0860825000004	2563.70012	937.4011949999998	3481.3269125000006	73.77193	0.0	-22923.79942000001	-3402.3196225	-2556.7974025	-3079.3401600000007	0.0	-6457.787772500001	-6208.580240000001
2	14225.768360000002	1159.2932525	2552.1525599999995	932.3863374999997	3486.133114999999	74.62804	0.0	-23002.74917	-3363.16068	-2550.7971850000004	-3023.5136175	0.0	-6486.345369999999	-6221.326347499999
3	14227.246617499997	1160.1999199999998	2561.709985	942.7005575	3467.8158874999995	74.16922249999998	0.0	-22987.729894999997	-3369.4407650000007	-2552.8442124999992	-3029.1411024999998	0.0	-6476.1726825000005	-6210.042242500001
4	14222.6438025	1157.4651975000002	2552.7988275	931.8404974999997	3498.5551000000005	73.92205750000001	0.0	-22913.814112500004	-3419.3453250000007	-2557.4525175	-3085.2140849999996	0.0	-6453.386472499999	-6193.177289999998
5	14210.906167499998	1158.2053875	2550.2752100000007	933.855175	3485.6966074999996	74.74601750000001	0.0	-22945.715042500007	-3408.5139124999996	-2551.4447049999994	-3057.4758900000006	0.0	-6491.989095000002	-6215.69709
6	14225.899995000005	1161.6663575	2548.0953849999996	939.8676724999998	3491.074255000001	74.86475249999998	0.0	-23020.667380000003	-3360.3495250000014	-2545.3648274999996	-3027.536104999999	0.0	-6484.913315	-6226.964647500001
7	14202.1610575	1157.2294025	2569.820165	942.1477600000001	3476.6161600000005	74.01467749999999	0.0	-22959.712635000004	-3373.709924999999	-2537.860535	-3054.8715324999994	0.0	-6449.293872500001	-6204.470157500002
8	14245.510009999998	1161.96612	2544.791592499999	931.4054099999997	3492.895134999999	72.95559250000001	0.0	-23040.718114999996	-3328.171779999999	-2564.5679024999995	-3002.9596775	0.0	-6483.933937499997	-6231.677427499998
9	14263.147345	1164.2923099999994	2544.5747999999994	936.9836174999998	3484.6933049999993	73.893855	0.0	-22967.352290000006	-3413.1562800000006	-2550.667387499999	-3093.471047499999	0.0	-6463.590725	-6217.7993475
10	14262.20459	1164.4597174999997	2564.315812499999	933.1674075000001	3489.750505000001	75.12483000000002	0.0	-22940.721287500004	-3463.5297825000002	-2546.1222399999992	-3127.272894999999	0.0	-6461.350447499999	-6200.218390000001
11	14259.714790000004	1162.95929	2559.9058899999995	931.8094425000003	3492.0884574999995	73.0072875	0.0	-23000.648589999993	-3385.2522974999993	-2560.8554775	-3064.0237625	0.0	-6467.2712075	-6219.049959999999
12	14232.11121	1162.2817049999999	2548.693025	930.2213449999999	3486.291115000001	73.44254000000004	0.0	-22924.7823325	-3417.5305424999997	-2561.232007500001	-3101.2198175000003	0.0	-6470.503942499999	-6227.635757499999
13	14234.589682500004	1156.47075	2569.5271225000006	934.1702724999999	3485.4040475	72.76170499999998	0.0	-23014.752560000004	-3336.014740000001	-2565.0307	-3006.91024	0.0	-6462.87442	-6206.531624999999
14	14232.368149999995	1163.7745925	2558.724315	940.4825550000002	3482.4273100000005	74.81508999999997	0.0	-22985.888834999998	-3393.1147849999993	-2539.336705	-3067.3340175000003	0.0	-6465.748312500001	-6214.7826350000005
15	14218.3292875	1161.7569875000004	2567.8664200000003	938.7964075000002	3478.7795250000004	73.3776925	0.0	-22953.145967500004	-3392.1448399999995	-2572.6455149999992	-3060.8201125	0.0	-6479.0300025	-6221.0829675
16	14251.563165000003	1160.095195	2548.3193300000003	936.2022049999998	3481.1225325	73.59087249999997	0.0	-23008.866522500004	-3394.6004075000005	-2559.7382025	-3048.2645525	0.0	-6512.3118325000005	-6239.566850000001
17	14266.480325	1163.7777225000004	2565.4328675	940.26906	3488.6254350000004	74.14334000000001	0.0	-22963.14541249999	-3463.384467499999	-2553.570395	-3118.8989575000005	0.0	-6481.3715250000005	-6211.029355000001
18	14225.4184025	1161.7015975000002	2553.1549850000006	933.33817	3493.6040100000005	73.73203	0.0	-22932.248854999998	-3408.2909600000007	-2566.4881075000003	-3082.9222050000003	0.0	-6466.0787275	-6214.442002500003
19	14275.029085000006	1160.1394775000003	2557.1578674999996	928.48086	3493.5066874999998	72.91613249999999	0.0	-23065.275757500007	-3359.9808275000005	-2564.4860575000007	-3021.888114999999	0.0	-6502.512532500001	-6237.335952500001
20	14230.763745000004	1161.7265575000001	2553.6646250000003	928.9374474999998	3484.0442949999997	73.47446000000001	0.0	-23033.842395	-3340.5555400000003	-2559.2301025	-3001.4981299999995	0.0	-6501.016907500001	-6235.433957499999
21	14231.021802500001	1154.43399	2562.7576200000003	935.7050724999999	3482.9565275	73.88990499999998	0.0	-22980.172700000003	-3388.1811225000006	-2562.513637500001	-3057.406732499999	0.0	-6490.102542499999	-6233.218057499999
22	14238.3115525	1159.8903074999996	2563.9820025000004	928.3056824999998	3484.0013824999996	73.51800999999998	0.0	-22974.928302500004	-3387.7464725	-2558.5400649999997	-3053.332285	0.0	-6473.2059025	-6212.309725000002
23	14202.928387499996	1161.0294175000001	2556.3791175	929.2666524999999	3471.2138475	73.82724999999999	0.0	-22870.482522500002	-3440.386947499999	-2549.5351124999997	-3116.3614600000005	0.0	-6465.759909999999	-6215.561672499999
24	14220.082625000005	1157.7707025	2542.050085	938.6870875000001	3483.4042149999996	73.57868749999999	0.0	-22993.719899999996	-3363.5531449999994	-2556.190964999999	-3025.89036	0.0	-6497.8906074999995	-6233.806510000001
