replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
1	1	15.4317	6.463	14.0021	6.5564	10.2447	2.9457	0.0	-40.8385	-96.5135	-1.1958	-96.9052	0.0	-82.9042	-86.24159999999998
1	2	11.3571	6.3707	19.5418	7.6419	14.9318	2.9129	0.0	-55.7117	-80.1894	-3.1534	-81.0495	0.0	-76.29830000000001	-80.0713
1	3	12.571	7.7071	16.2142	12.0634	12.4313	2.9342	0.0	-48.5416	-86.3585	-2.4592	-87.2965	0.0	-73.4381	-77.31029999999998
1	4	13.0686	8.1198	19.0767	6.602	11.2658	2.8818	0.0	-53.9322	-82.6538	-3.2355	-83.2952	0.0	-78.80680000000001	-82.33000000000001
1	5	14.6617	7.2391	16.912	6.2773	14.6574	2.907	0.0	-54.1151	-84.4979	-3.9818	-85.8129	0.0	-79.94030000000001	-84.16229999999999
1	6	12.3434	4.9146	24.4161	5.1597	10.3683	2.9118	0.0	-49.5035	-85.5627	-3.3629	-86.71	0.0	-78.3152	-82.3743
1	7	10.6744	6.1067	20.613	8.1758	14.604	2.9408	0.0	-48.4156	-86.1059	-3.6207	-86.8503	0.0	-75.0275	-78.7127
1	8	13.3504	6.8343	27.301	6.604	11.9751	2.822	0.0	-60.8273	-76.9803	-1.9673	-77.5234	0.0	-70.8881	-74.25319999999999
1	9	16.8582	7.8613	19.643	7.2768	13.693	2.9351	0.0	-51.7145	-89.4317	-3.5247	-90.1837	0.0	-76.4035	-80.09059999999998
1	10	14.4665	6.9239	15.0317	12.0667	14.0463	2.9037	0.0	-57.0995	-80.5749	-3.574	-82.079	0.0	-75.8096	-80.2174
1	11	11.1781	6.6887	20.8305	8.7727	15.4418	2.8905	0.0	-49.6619	-85.2132	-3.7391	-85.7165	0.0	-72.8119	-76.2057
1	12	8.9561	6.7776	19.9948	5.5965	13.3966	2.9379	0.0	-40.8851	-91.5887	-2.643	-92.0408	0.0	-77.4573	-80.8473
1	13	11.7314	7.7937	18.7477	11.13	12.0283	2.9208	0.0	-47.2001	-87.1263	-2.3284	-88.1633	0.0	-72.30290000000001	-76.2607
1	14	14.6506	7.5209	12.8696	8.1446	11.2998	2.8972	0.0	-48.6236	-87.6482	-3.0931	-88.4671	0.0	-81.98220000000002	-85.69830000000002
1	15	17.9422	6.2567	18.1998	10.6339	13.6101	2.9367	0.0	-52.3916	-90.4046	-3.6163	-91.1747	0.0	-76.8331	-80.53989999999999
1	16	4.6869	6.3073	20.1493	4.9768	13.9641	2.8924	0.0	-42.2968	-85.5747	-1.0173	-86.4006	0.0	-75.912	-79.63029999999999
1	17	8.5045	7.4341	20.0926	12.7837	15.499	2.8607	0.0	-53.7636	-77.1496	-4.2219	-78.7826	0.0	-67.9605	-72.45420000000001
1	18	14.1623	5.7867	20.7733	6.1917	13.3378	2.9156	0.0	-48.6954	-88.8052	-3.3782	-89.7245	0.0	-77.71140000000001	-81.54630000000002
1	19	14.1026	6.2397	24.8776	7.1869	13.5846	2.8731	0.0	-53.2038	-85.7571	-3.6521	-86.9393	0.0	-73.74849999999999	-77.8038
1	20	12.9314	6.0044	19.118	7.9328	12.7922	2.9015	0.0	-57.0439	-78.5807	-3.483	-79.6699	0.0	-77.4273	-81.418
1	21	10.5072	6.5301	20.2681	10.7533	8.9829	3.0007	0.0	-46.2187	-88.2416	-2.0825	-89.0864	0.0	-76.5005	-80.34599999999999
1	22	11.2276	4.9615	22.659	12.531	13.2959	2.9492	0.0	-52.5961	-82.6637	-2.7578	-84.4119	0.0	-70.39340000000001	-75.09080000000002
1	23	12.8007	7.5663	21.0798	11.2737	14.982	2.9231	0.0	-49.0089	-85.9543	-2.8489	-87.0185	0.0	-67.18650000000001	-71.1738
1	24	10.8695	7.483	19.1255	7.7688	15.8056	2.8555	0.0	-51.1688	-82.1754	-3.1907	-83.7046	0.0	-72.62700000000001	-77.0117
1	25	13.2879	7.8116	15.4928	5.3599	14.683	2.8681	0.0	-47.413	-88.9273	-3.1876	-89.3984	0.0	-80.0246	-83.3638
1	26	10.4451	8.1301	19.445	4.2022	10.5934	2.9424	0.0	-54.2692	-78.5899	-0.657	-78.6262	0.0	-77.75789999999999	-80.73659999999998
1	27	14.1483	6.5217	17.0023	9.687	15.1511	2.8626	0.0	-47.5	-90.2539	-4.16	-91.1151	0.0	-76.5409	-80.26469999999999
1	28	15.0699	7.0778	24.767	7.0001	11.4348	2.8745	0.0	-50.1661	-88.603	-3.5264	-90.0482	0.0	-74.07139999999998	-78.39110000000001
1	29	9.6589	8.3507	19.9882	2.6877	14.0615	2.974	0.0	-42.8785	-88.5007	-1.8854	-88.7133	0.0	-75.5436	-78.73020000000002
1	30	11.0664	6.6932	19.173	8.5532	11.9308	2.9566	0.0	-52.083	-80.3761	-3.9181	-82.303	0.0	-76.00399999999999	-80.8875
1	31	11.1347	7.9968	16.9277	6.8594	10.9098	2.9279	0.0	-51.242	-81.9637	-2.4532	-82.6621	0.0	-78.90259999999999	-82.5289
1	32	15.1159	8.5603	17.9778	12.8371	12.2287	2.8784	0.0	-50.6153	-87.0019	-2.8157	-87.6058	0.0	-70.83470000000001	-74.31700000000002
1	33	11.6555	7.8653	11.6638	9.8645	13.3933	2.8981	0.0	-45.9705	-89.0411	-3.531	-90.075	0.0	-81.2021	-85.13410000000002
1	34	12.4425	7.7435	25.0756	8.9877	10.7155	2.921	0.0	-54.831	-83.0889	-2.6386	-83.9174	0.0	-72.67269999999999	-76.4222
1	35	14.263	6.1358	18.4786	6.7127	11.1288	2.9258	0.0	-50.0302	-86.2566	-3.3769	-87.5677	0.0	-80.019	-84.2559
1	36	3.342	5.3344	20.1779	7.8647	13.5825	2.9029	0.0	-43.8351	-82.2293	-1.5135	-82.6639	0.0	-74.37349999999998	-77.71099999999998
