replica	frame	1-4_eel	1-4_vdw	angle	bond	dihed	ecavity	edisper	eel	epb	vdwaals	egb	esurf	pb_tot	gb_tot
1	1	9.2749	7.6144	19.2634	8.5072	19.3731	2.9164	0.0	-43.7612	-88.3002	-3.4646	-88.804	0.0	-68.57660000000001	-71.99680000000001
1	2	14.0369	6.551	16.4831	7.2684	9.5711	2.8713	0.0	-50.8667	-85.3293	-2.7556	-85.8323	0.0	-82.16980000000001	-85.5441
1	3	3.6274	7.8585	16.0016	8.7729	14.2878	2.9377	0.0	-36.7946	-88.7331	-2.244	-88.8852	0.0	-74.2858	-77.37559999999999
1	4	10.0996	6.6804	17.9696	5.6704	12.2831	2.887	0.0	-43.4606	-88.9368	-3.6792	-89.6818	0.0	-80.48649999999999	-84.1185
1	5	14.0111	7.8349	15.199	6.3099	10.2298	2.8858	0.0	-45.9916	-89.5059	-3.2769	-89.6529	0.0	-82.30389999999998	-85.3367
1	6	10.4797	7.4461	17.7547	8.3295	11.9636	2.8992	0.0	-46.3734	-86.1761	-2.8452	-86.6349	0.0	-76.52190000000002	-79.87990000000002
1	7	12.5041	8.021	15.222	6.6765	11.3913	2.9347	0.0	-46.2694	-89.8044	0.3127	-89.722	0.0	-79.01149999999998	-81.8638
1	8	16.0941	7.2143	22.0827	13.0911	12.2794	2.8842	0.0	-50.4523	-86.9347	-3.6532	-87.979	0.0	-67.3944	-71.32289999999998
1	9	13.5466	7.1006	21.039	7.1642	13.3263	2.9231	0.0	-43.7191	-92.0836	-2.6476	-91.8356	0.0	-73.3505	-76.0256
1	10	8.2411	6.5366	17.0494	5.8558	13.9669	2.9331	0.0	-43.3745	-88.0127	-3.4752	-88.9737	0.0	-80.27949999999998	-84.17359999999998
1	11	9.8414	6.5976	17.2808	5.1403	12.4427	2.9682	0.0	-40.9366	-91.275	-3.5593	-92.195	0.0	-81.4999	-85.38809999999998
1	12	10.3846	8.3113	18.6704	5.5415	11.1578	2.932	0.0	-40.6371	-91.5752	-3.0068	-91.9562	0.0	-78.22149999999999	-81.53449999999998
1	13	9.6186	6.7366	19.1372	4.6486	16.9026	2.9231	0.0	-43.2934	-88.7193	-3.384	-89.5464	0.0	-75.42999999999999	-79.1802
1	14	11.0875	7.0846	21.9111	5.6479	11.5376	2.9126	0.0	-44.9085	-88.0561	-2.8704	-88.7733	0.0	-75.6537	-79.2835
1	15	12.7358	6.965	16.5288	10.7351	14.2714	2.9525	0.0	-44.9901	-90.8253	-2.8566	-91.8363	0.0	-74.4834	-78.4469
1	16	10.6391	5.8926	20.3221	7.9566	17.3198	2.9422	0.0	-44.7796	-88.6204	-3.8813	-90.0128	0.0	-72.2089	-76.5435
1	17	14.6786	7.7414	17.3269	9.6527	11.0572	2.8654	0.0	-46.2885	-92.0205	-3.0173	-92.4698	0.0	-78.00410000000001	-81.31880000000001
1	18	14.0581	6.6756	20.9033	10.845	15.4013	2.9204	0.0	-47.6838	-88.2346	-3.0163	-89.3347	0.0	-68.131	-72.1515
1	19	8.7802	7.4741	27.0474	7.7022	16.4875	2.8982	0.0	-43.464	-88.603	-3.4322	-88.8637	0.0	-65.10959999999999	-68.26849999999999
1	20	13.7247	9.1658	22.2105	4.7033	11.3091	2.8909	0.0	-53.7861	-82.9493	-3.2575	-83.9618	0.0	-75.98859999999999	-79.89199999999998
1	21	17.7822	7.575	15.4483	3.7065	13.4336	2.8635	0.0	-57.1871	-83.6427	-3.7093	-84.0744	0.0	-83.73	-87.02519999999998
1	22	14.3873	7.5295	18.9927	9.6953	10.4615	2.8843	0.0	-55.2013	-82.174	-3.3451	-82.6171	0.0	-76.76980000000002	-80.0972
1	23	13.3293	6.5447	15.9801	4.2007	13.9994	2.9103	0.0	-52.05	-83.2567	-3.7395	-84.2731	0.0	-82.0817	-86.0084
1	24	12.7994	6.8827	21.2128	7.1059	12.0984	2.9163	0.0	-52.3165	-84.1009	-2.876	-84.2647	0.0	-76.2779	-79.358
1	25	14.3757	6.8449	22.8117	7.3524	10.3494	2.8823	0.0	-53.258	-84.4564	-2.552	-84.9401	0.0	-75.65000000000002	-79.01600000000003
1	26	6.0443	6.8368	18.7045	7.2831	11.2917	2.9178	0.0	-42.1434	-86.3019	-2.4794	-87.0199	0.0	-77.84649999999999	-81.4823
1	27	14.7594	7.3143	18.0419	8.9069	15.1901	2.8711	0.0	-51.2535	-85.2725	-3.8917	-86.0424	0.0	-73.334	-76.97500000000001
1	28	8.7113	8.6558	23.4345	5.1902	13.8904	2.92	0.0	-43.8358	-87.8775	-3.0601	-87.9969	0.0	-71.97120000000001	-75.0106
1	29	13.8291	7.0375	19.7374	9.5707	15.2381	2.8719	0.0	-58.1477	-78.5635	-3.7643	-79.7215	0.0	-72.19080000000001	-76.22070000000001
1	30	9.909	7.2461	17.4349	5.6118	10.3281	2.9176	0.0	-52.0376	-81.6044	-0.0943	-81.75	0.0	-80.28880000000001	-83.352
1	31	11.7507	7.7972	19.5218	8.3525	12.508	2.8428	0.0	-52.981	-81.7981	-3.6032	-82.3587	0.0	-75.6093	-79.0127
1	32	16.9767	6.2512	16.7069	7.0281	11.7209	2.8893	0.0	-56.6588	-82.4774	-2.4159	-82.9719	0.0	-79.97899999999998	-83.36279999999998
1	33	10.0848	5.7928	19.0543	8.556	9.0466	2.9472	0.0	-48.6616	-84.8881	-2.1821	-85.777	0.0	-80.25009999999999	-84.08620000000002
1	34	15.7562	6.776	19.0118	8.5301	13.5634	2.9114	0.0	-54.6173	-83.3852	-3.6773	-84.2041	0.0	-75.1309	-78.86119999999998
1	35	11.7859	7.1291	15.9773	5.22	13.3844	2.9564	0.0	-49.6896	-85.4256	-3.3571	-86.0913	0.0	-82.01920000000001	-85.6413
1	36	10.0046	6.1693	20.3793	6.9504	15.3533	2.9323	0.0	-49.7599	-83.6569	-3.0106	-84.0668	0.0	-74.63819999999998	-77.98039999999999
1	37	18.3382	8.4914	18.5361	9.7011	13.2467	2.8242	0.0	-59.2167	-81.0047	-4.2029	-82.1079	0.0	-73.28659999999999	-77.214
1	38	11.3069	5.9809	19.158	8.6884	13.2371	2.907	0.0	-54.6516	-77.6896	-3.1817	-78.9466	0.0	-74.24459999999999	-78.4086
1	39	13.8139	7.4402	13.2108	6.5844	9.4722	2.8959	0.0	-51.1024	-85.933	-3.2382	-86.4627	0.0	-86.85620000000002	-90.28179999999999
1	40	14.0197	7.8092	19.0729	6.9487	13.9579	2.8871	0.0	-53.2252	-82.6755	-2.2744	-83.1862	0.0	-73.4796	-76.87740000000001
2	1	5.1171	7.2708	16.4128	6.1038	12.1266	2.9726	0.0	-41.4946	-84.222	-2.219	-84.6857	0.0	-77.93189999999998	-81.36819999999999
2	2	1.1199	5.7922	18.685	8.9041	11.1477	2.9665	0.0	-40.9493	-82.4698	-1.7554	-83.1407	0.0	-76.5591	-80.1965
2	3	12.2609	8.2236	21.0586	8.4568	15.2455	2.8645	0.0	-54.6983	-81.3872	-3.2736	-82.9379	0.0	-71.24920000000002	-75.6644
2	4	14.2253	7.3725	16.9477	7.1565	10.7127	2.9132	0.0	-54.4439	-81.792	-2.0942	-82.5474	0.0	-79.0022	-82.67079999999999
2	5	10.9676	6.692	22.6272	4.7496	11.9884	2.9272	0.0	-44.934	-88.07	-2.2589	-88.1902	0.0	-75.31089999999999	-78.3583
2	6	11.7369	6.9683	19.0353	10.8305	17.4683	2.9051	0.0	-51.9622	-82.9891	-1.9557	-83.8041	0.0	-67.9626	-71.68270000000001
2	7	11.9046	6.709	16.0651	8.5011	14.3252	2.9429	0.0	-52.4928	-81.8789	-3.3551	-82.5689	0.0	-77.2789	-80.9118
2	8	14.4167	5.4873	18.7795	7.7751	12.4804	2.8876	0.0	-58.2577	-79.8258	-4.4795	-80.9038	0.0	-80.7364	-84.70199999999998
2	9	13.3086	6.806	17.8341	6.8198	14.0211	2.9092	0.0	-54.3545	-82.6132	-2.5122	-83.3517	0.0	-77.78110000000001	-81.4288
2	10	9.6619	7.0341	17.8869	7.2428	10.8007	2.8941	0.0	-48.227	-84.4154	-2.9311	-85.1371	0.0	-80.05300000000001	-83.6688
2	11	10.4621	7.3225	20.9232	10.682	8.4792	2.8965	0.0	-52.9947	-82.3269	-2.4543	-82.7424	0.0	-77.01039999999999	-80.32239999999999
2	12	12.196	7.6817	22.8004	2.2756	12.2762	2.9172	0.0	-54.1506	-80.7968	-3.2994	-81.2223	0.0	-78.09970000000001	-81.4424
2	13	12.3066	8.0238	12.9036	4.3104	10.9583	2.9162	0.0	-51.9475	-83.9188	-3.1574	-84.7704	0.0	-87.60480000000001	-91.37259999999998
2	14	15.2738	6.865	17.6474	5.1881	11.1332	2.8952	0.0	-54.6506	-83.6422	-3.4776	-84.8858	0.0	-82.76769999999999	-86.9065
2	15	15.5718	6.9282	17.5696	12.5742	11.436	2.9115	0.0	-54.2711	-83.8457	-3.3637	-85.2463	0.0	-74.48919999999998	-78.8013
